STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
CA,1,Minimal,2017-10-21,42,2017-18
KY,1,Minimal,2017-10-21,42,2017-18
AZ,1,Minimal,2017-10-21,42,2017-18
OR,1,Minimal,2017-10-21,42,2017-18
KS,1,Minimal,2017-10-21,42,2017-18
ME,1,Minimal,2017-10-21,42,2017-18
WY,1,Minimal,2017-10-21,42,2017-18
PA,1,Minimal,2017-10-21,42,2017-18
CT,1,Minimal,2017-10-21,42,2017-18
AR,1,Minimal,2017-10-21,42,2017-18
CO,1,Minimal,2017-10-21,42,2017-18
WA,1,Minimal,2017-10-21,42,2017-18
VT,1,Minimal,2017-10-21,42,2017-18
MS,1,Minimal,2017-10-21,42,2017-18
OK,1,Minimal,2017-10-21,42,2017-18
NM,1,Minimal,2017-10-21,42,2017-18
MT,1,Minimal,2017-10-21,42,2017-18
AK,4,Low,2017-10-21,42,2017-18
IN,1,Minimal,2017-10-21,42,2017-18
IA,1,Minimal,2017-10-21,42,2017-18
IL,1,Minimal,2017-10-21,42,2017-18
MD,1,Minimal,2017-10-21,42,2017-18
NY,1,Minimal,2017-10-21,42,2017-18
ID,1,Minimal,2017-10-21,42,2017-18
AL,2,Minimal,2017-10-21,42,2017-18
HI,1,Minimal,2017-10-21,42,2017-18
GA,3,Minimal,2017-10-21,42,2017-18
MA,1,Minimal,2017-10-21,42,2017-18
TX,1,Minimal,2017-10-21,42,2017-18
SD,2,Minimal,2017-10-21,42,2017-18
FL,1,Minimal,2017-10-21,42,2017-18
NC,1,Minimal,2017-10-21,42,2017-18
DE,1,Minimal,2017-10-21,42,2017-18
MI,1,Minimal,2017-10-21,42,2017-18
SC,2,Minimal,2017-10-21,42,2017-18
MO,1,Minimal,2017-10-21,42,2017-18
WI,1,Minimal,2017-10-21,42,2017-18
NH,1,Minimal,2017-10-21,42,2017-18
TN,1,Minimal,2017-10-21,42,2017-18
DC,2,Minimal,2017-10-21,42,2017-18
RI,1,Minimal,2017-10-21,42,2017-18
NJ,1,Minimal,2017-10-21,42,2017-18
PA,1,Minimal,2017-10-28,43,2017-18
PR,1,Minimal,2017-10-28,43,2017-18
GA,4,Low,2017-10-28,43,2017-18
SC,5,Low,2017-10-28,43,2017-18
IN,1,Minimal,2017-10-28,43,2017-18
NJ,1,Minimal,2017-10-28,43,2017-18
OK,1,Minimal,2017-10-28,43,2017-18
VA,2,Minimal,2017-10-28,43,2017-18
AR,1,Minimal,2017-10-28,43,2017-18
KY,1,Minimal,2017-10-28,43,2017-18
FL,1,Minimal,2017-10-28,43,2017-18
MN,1,Minimal,2017-10-28,43,2017-18
AK,3,Minimal,2017-10-28,43,2017-18
IA,1,Minimal,2017-10-28,43,2017-18
TN,1,Minimal,2017-10-28,43,2017-18
AL,3,Minimal,2017-10-28,43,2017-18
NM,1,Minimal,2017-10-28,43,2017-18
MT,1,Minimal,2017-10-28,43,2017-18
NY,1,Minimal,2017-10-28,43,2017-18
CO,1,Minimal,2017-10-28,43,2017-18
DC,2,Minimal,2017-10-28,43,2017-18
